CRTL1	CTRL2	CTRL3	T1	T2	T3	COUNT	TYPE	GENE	VERSION	DESCRIPTION
585	332	344	531	508	710	PaeAG1_03079	CDS	fpvI		RNA polymerase sigma factor
1114	574	528	1224	881	1122	PaeAG1_03080	CDS	pvdA		L-ornithine N5-oxygenase
249	100	44	165	173	150	PaeAG1_03081	CDS	pvdQ		acyl-homoserine lactone acylase PvdQ
172	55	78	59	60	73	PaeAG1_03082	CDS			hypothetical protein
656	424	211	220	220	268	PaeAG1_03083	CDS			transcriptional regulator
1411	908	554	340	284	383	PaeAG1_03084	CDS	lldA		L-lactate dehydrogenase
4249	2409	3298	5365	3064	3188	PaeAG1_03085	CDS			hypothetical protein
1439	788	1030	772	857	998	PaeAG1_03086	CDS			hypothetical protein
936	576	433	405	381	581	PaeAG1_03087	CDS			oxidoreductase
2376	1403	671	1446	1193	1562	PaeAG1_03088	CDS			aldehyde dehydrogenase
695	404	215	574	467	645	PaeAG1_03089	CDS			hypothetical protein
614	304	205	318	304	367	PaeAG1_03090	CDS			transcriptional regulator
890	478	256	381	436	452	PaeAG1_03091	CDS			hypothetical protein
260	152	88	172	151	148	PaeAG1_03092	CDS			hypothetical protein
963	456	360	714	584	690	PaeAG1_03093	CDS	vgrG1_4		type VI secretion system protein VgrG
784	438	525	645	572	633	PaeAG1_03094	CDS			hypothetical protein
1675	869	1280	1736	1599	1593	PaeAG1_03095	CDS			hypothetical protein
2508	1322	712	1500	1535	1613	PaeAG1_03096	CDS			ClpA/B-type protease
479	292	134	335	323	379	PaeAG1_03097	CDS			hypothetical protein
1540	849	534	962	849	1084	PaeAG1_03098	CDS			hypothetical protein
305	176	66	124	133	160	PaeAG1_03099	CDS			hypothetical protein
1080	498	322	522	418	586	PaeAG1_03100	CDS	hcp1_2		protein secretion apparatus assembly protein
3254	1598	914	1082	869	1488	PaeAG1_03101	CDS			uricase
1017	478	336	214	315	393	PaeAG1_03102	CDS			hypothetical protein
1423	676	658	2146	2086	1581	PaeAG1_03103	CDS			hypothetical protein
2080	1370	764	2660	2648	1860	PaeAG1_03104	CDS			hypothetical protein
507	299	176	290	302	423	PaeAG1_03105	CDS			hypothetical protein
2218	1316	883	1681	1400	1844	PaeAG1_03106	CDS			hypothetical protein
1076	624	386	1045	961	950	PaeAG1_03107	CDS			hypothetical protein
405.012	232	178	237	226	280	PaeAG1_03108	CDS			transcriptional regulator
139	65	55	97	98	147	PaeAG1_03109	CDS			hypothetical protein
62	21	7	23	20	20	PaeAG1_03110	CDS	msuE		FMN reductase MsuE
132	80	49	78	57	75	PaeAG1_03111	CDS	msuD_4		methanesulfonate monooxygenase
94	47	32	82	73	73	PaeAG1_03112	CDS			FMNH2-dependent monooxygenase
143.004	70	68	56	56	79	PaeAG1_03113	CDS			transcriptional regulator
710	478	203	214	234	322	PaeAG1_03114	CDS	zapE_1		Cell division protein ZapE
564	324	170	171	145	242	PaeAG1_03115	CDS			glycerophosphoryl diester phosphodiesterase
239	102	90	120	119	135	PaeAG1_03116	CDS			ABC transporter permease
157	76	32	56	61	90	PaeAG1_03117	CDS			methionine ABC transporter ATP-binding protein
74	35	13	47	42	49	PaeAG1_03118	CDS			TonB-dependent receptor
101	47	25	43	45	41	PaeAG1_03119	CDS	dmoA_1	1.14.13.131	Dimethyl-sulfide monooxygenase
109	81	29	94	84	115	PaeAG1_03120	CDS			FMNH2-dependent monooxygenase
125	79	36	85	68	92	PaeAG1_03121	CDS			FMNH2-dependent monooxygenase
1225	765	275	454	409	421	PaeAG1_03122	CDS			hypothetical protein
523	295	152	228	264	276	PaeAG1_03123	CDS	mtlZ		fructokinase
122	76	39	137	127	120	PaeAG1_03124	CDS	mtlY		xylulose kinase
141	84	39	111	100	130	PaeAG1_03125	CDS	mtlD		mannitol dehydrogenase
229	153	97	309	241	295	PaeAG1_03126	CDS			maltose ABC transporter ATP-binding protein
131	63	33	118	96	90	PaeAG1_03127	CDS			binding-protein-dependent maltose/mannitol transport protein
1081	680	470	475	528	509	PaeAG1_03128	CDS			binding-protein-dependent maltose/mannitol transport protein
645	346	209	452	360	404	PaeAG1_03129	CDS			maltose/mannitol ABC transporter substrate-binding protein
434	249	186	217	263	271	PaeAG1_03130	CDS	mtlR		transcriptional regulator MtlR
133	89	42	83	82	80	PaeAG1_03131	CDS			hypothetical protein
223	114	65	126	86	113	PaeAG1_03132	CDS			TonB-dependent receptor
209	109	89	134	99	132	PaeAG1_03133	CDS			transcriptional regulator
314	170	84	162	125	130	PaeAG1_03134	CDS			sulfatase
835	469	296	441	413	482	PaeAG1_03135	CDS			transcriptional regulator
4892	2653	1004	1731	1453	2198	PaeAG1_03136	CDS			hypothetical protein
3687	2155	535	1256	1188	1544	PaeAG1_03137	CDS			hypothetical protein
1792	949	248	429	403	543	PaeAG1_03138	CDS			ABC transporter ATP-binding protein
2378	1373	512	1230	995	1237	PaeAG1_03139	CDS			hypothetical protein
1698	830	504	1236	1161	1223	PaeAG1_03140	CDS			ABC transporter permease
267	142	94	164	167	156	PaeAG1_03141	CDS	dmoA_2	1.14.13.131	Dimethyl-sulfide monooxygenase
124	57	44	40	63	53	PaeAG1_03142	CDS			FMNH2-dependent monooxygenase
91	60	31	36	40	48	PaeAG1_03143	CDS			FMNH2-dependent monooxygenase
3986	2258	1216	275	235	294	PaeAG1_03144	CDS			glyceraldehyde-3-phosphate dehydrogenase
56	21	19	39	27	31	PaeAG1_03145	CDS			hypothetical protein
1062	636	308	454	500	464	PaeAG1_03146	CDS			gluconate permease
605	287	244	158	132	187	PaeAG1_03147	CDS			gluconokinase
2334	1247	817	676	512	683	PaeAG1_03148	CDS	gntR		GntR family transcriptional regulator
2030	963	700	454	330	340	PaeAG1_03149	CDS			hypothetical protein
2163	1085	545	408	370	432	PaeAG1_03150	CDS			oxidoreductase
451	237	112	120	139	196	PaeAG1_03151	CDS			transcriptional regulator
183	71	34	89	102	88	PaeAG1_03152	CDS	estB	3.1.1.-	Esterase EstB
146	76	46	87	68	73	PaeAG1_03153	CDS			major facilitator superfamily transporter
551	461	279	857	750	792	PaeAG1_03154	CDS			hypothetical protein
189	124	67	117	94	124	PaeAG1_03155	CDS			transcriptional regulator
79	38	9	47	48	64	PaeAG1_03156	CDS			hypothetical protein
162	102	53	145	119	151	PaeAG1_03157	CDS	tauD_4	1.14.11.17	taurine dioxygenase
141	78	51	121	94	127	PaeAG1_03158	CDS			hypothetical protein
87	45	24	55	39	52	PaeAG1_03159	CDS			ABC transporter ATP-binding protein
116	57	33	66	63	59	PaeAG1_03160	CDS			ABC transporter permease
695	447	299	346	345	413	PaeAG1_03161	CDS	ambA_3		protein AmbA
941	578	275	904	746	1023	PaeAG1_03162	CDS	ambB		protein AmbB
242	149	69	365	265	284	PaeAG1_03163	CDS	ambC		protein AmbC
170	85	41	205	144	153	PaeAG1_03164	CDS	ambD		protein AmbD
1844	1027	374	2058	1651	1548	PaeAG1_03165	CDS	ambE		protein AmbE
1047	573	316	310	272	341	PaeAG1_03166	CDS			hypothetical protein
407	254	114	400	341	280	PaeAG1_03167	CDS	chiC		chitinase
719	378	247	315	248	350	PaeAG1_03168	CDS			transcriptional regulator
1278	585	363	525	450	546	PaeAG1_03169	CDS			oxidoreductase
76	44	20	20	28	41	PaeAG1_03170	CDS			ferredoxin
281	185	144	175	155	192	PaeAG1_03171	CDS			hypothetical protein
34	19	10	29	12	17	PaeAG1_03172	CDS			ABC transporter permease
74	40	18	41	44	46	PaeAG1_03173	CDS			ABC transporter ATP-binding protein
73	56	20	34	42	46	PaeAG1_03174	CDS			hypothetical protein
47	24	29	23	24	22	PaeAG1_03175	CDS			hypothetical protein
1313.82	731.289	527.113	415.872	572.44	683.571	PaeAG1_03176	CDS	oprB_3		porin B
4863	2439	1031	1788	1532	1848	PaeAG1_03177	CDS	gcd		glucose dehydrogenase
3034	1513	1066	2506	1939	1885	PaeAG1_03178	CDS	fiuA_2		ferrichrome receptor FiuA
1352	740	484	1488	1149	1554	PaeAG1_03179	CDS			hypothetical protein
1751	1064	444	1198	1028	1495	PaeAG1_03180	CDS			hypothetical protein
2243	1118	376	692	666	872	PaeAG1_03181	CDS	htpX_3	3.4.24.-	Protease HtpX
765	372	154	185	193	233	PaeAG1_03182	CDS			hypothetical protein
553	291	81	159	162	212	PaeAG1_03183	CDS			hypothetical protein
960	472	222	223	209	292	PaeAG1_03184	CDS			hypothetical protein
458	264	171	250	175	224	PaeAG1_03185	CDS			hypothetical protein
1233	679	409	346	292	490	PaeAG1_03186	CDS			transcriptional regulator
421	236	150	128	125	167	PaeAG1_03187	CDS	arsH_2	1.-.-.-	NADPH-dependent FMN reductase ArsH
193	107	60	78	63	104	PaeAG1_03188	CDS	arsC_2		low molecular weight phosphatase
409	222	115	187	171	207	PaeAG1_03189	CDS	arsB		arsenite-antimonite efflux pump ArsB
212	104	67	68	64	89	PaeAG1_03190	CDS	arsR		ArsR family transcriptional regulator
356	210	111	188	173	224	PaeAG1_03191	CDS			transcriptional regulator
186	131	76	190	158	134	PaeAG1_03192	CDS			alcohol dehydrogenase
43	25	12	36	36	27	PaeAG1_03193	CDS			hypothetical protein
306	211	137	362	370	400	PaeAG1_03194	CDS	soxR_2		redox-sensitive transcriptional activator SoxR
1310	758	530	975	823	1007	PaeAG1_03195	CDS	pbpC		penicillin-binding protein 3A
390	216	109	163	151	269	PaeAG1_03196	CDS			acetyltransferase
480	287	214	199	181	367	PaeAG1_03197	CDS			transcriptional regulator
286	157	86	177	117	192	PaeAG1_03198	CDS			hypothetical protein
181	93	35	130	109	103	PaeAG1_03199	CDS	pyrG_2	6.3.4.2	CTP synthase
934	607	301	411	402	489	PaeAG1_03200	CDS			transcriptional regulator
6206	2984	1059	1284	1160	1261	PaeAG1_03201	CDS			cytochrome C
11984	5312	2097	1265	1069	1383	PaeAG1_03202	CDS			gluconate dehydrogenase
6840	3000	1208	713	682	921	PaeAG1_03203	CDS		1.1.99.3	Gluconate 2-dehydrogenase subunit 3
1468	715	365	316	295	520	PaeAG1_03204	CDS			2-hydroxyacid dehydrogenase
1738	770	570	605	533	911	PaeAG1_03205	CDS			2-ketogluconate transporter
2348	1102	394	858	801	1261	PaeAG1_03206	CDS			2-ketogluconate kinase
1913	830	348	741	570	1262	PaeAG1_03207	CDS			hypothetical protein
5803	2790	1401	1787	2231	2978	PaeAG1_03208	CDS	ptxS		transcriptional regulator PtxS
277	150	78	128	101	141	PaeAG1_03209	CDS	ptxR		HTH-type transcriptional regulator PtxR
67	32	18	52	30	38	PaeAG1_03210	CDS	pvcD		paerucumarin biosynthesis protein PvcD
205	90	66	80	87	115	PaeAG1_03211	CDS	pvcC		paerucumarin biosynthesis protein PvcC
107	58	25	47	51	57	PaeAG1_03212	CDS	pvcB		paerucumarin biosynthesis protein PvcB
151	81	49	79	71	60	PaeAG1_03213	CDS	pvcA		paerucumarin biosynthesis protein PvcA
489	286	140	227	221	269	PaeAG1_03214	CDS	ansA		L-asparaginase I
1077	525	339	382	292	624	PaeAG1_03215	CDS			AGCS sodium/alanine/glycine symporter
500	282	176	463	421	589	PaeAG1_03216	CDS			hypothetical protein
19448	10419	3397	30564	29484	23854	PaeAG1_03217	CDS	lpdV	1.8.1.4	branched-chain alpha-keto acid dehydrogenase complex dihydrolipoyl dehydrogenase
14984	7254	3130	23876	23174	20194	PaeAG1_03218	CDS	bkdB		branched-chain alpha-keto acid dehydrogenase complex lipoamide acyltransferase
9515	4362	1605	17313	15941	13301	PaeAG1_03219	CDS	bkdA2		2-oxoisovalerate dehydrogenase subunit beta
9029	3936	1652	19075	13267	14362	PaeAG1_03220	CDS	bkdA1		2-oxoisovalerate dehydrogenase subunit alpha
3389	1265	1858	6426	4206	3306	PaeAG1_03221	CDS			hypothetical protein
630	300	286	840	739	914	PaeAG1_03222	CDS	bkdR		Bkd operon transcriptional regulator BkdR
273	132	95	828	535	738	PaeAG1_03223	CDS			hypothetical protein
758	412	201	1373	1168	1323	PaeAG1_03224	CDS			hypothetical protein
779	457	154	280	232	253	PaeAG1_03225	CDS	pslM		FAD-binding dehydrogenase
3800	2157	1302	1174	969	1135	PaeAG1_03226	CDS			hypothetical protein
1937	1216	701	695	616	641	PaeAG1_03227	CDS	pslK		biofilm formation protein PslL
3814	2062	1468	1420	1291	1441	PaeAG1_03228	CDS	pslJ		biofilm formation protein PslJ
3111	1838	897	863	795	918	PaeAG1_03229	CDS	pslI		biofilm formation protein PslI
4960	2864	1621	1738	1634	1737	PaeAG1_03230	CDS	pslH		biofilm formation protein PslH
5926	2941	2138	1831	1642	1894	PaeAG1_03231	CDS	pslG		biofilm formation protein PslG
4408	2303	1067	1280	1136	1198	PaeAG1_03232	CDS	pslF		biofilm formation protein PslF
16571	8049	4349	3812	3462	4104	PaeAG1_03233	CDS	pslE		biofilm formation protein PslE
5762	2875	1563	1276	1303	1411	PaeAG1_03234	CDS	pslD		biofilm formation protein PslD
5505	2747	1389	1616	1650	1689	PaeAG1_03235	CDS	pslC		biofilm formation protein PslC
12137	6877	2650	3578	3626	3105	PaeAG1_03236	CDS	pslB		biofilm formation protein PslB
14981	7800	6668	6846	5929	6805	PaeAG1_03237	CDS	pslA		biofilm formation protein PslA
632	341	312	207	218	268	PaeAG1_03238	CDS			hypothetical protein
310	174	101	292	263	263	PaeAG1_03239	CDS	yiiM_2		Protein YiiM
2563.99	1281.08	2074.54	859.379	885.671	1587.67	PaeAG1_03240	CDS			hypothetical protein
6285.2	3224	3594.39	5375	4773	5093	PaeAG1_03241	CDS			Tn3 family transposase TnAs3
4092	1956	2045	3100	2473	3011	PaeAG1_03242	CDS			DNA invertase
1412	721	636	943	814	905	PaeAG1_03243	CDS			hypothetical protein
44862.4	24248.2	11426.2	11791.5	13865.1	21129.6	PaeAG1_03244	CDS	xerD_2		site-specific tyrosine recombinase XerD
104991	48091.4	63714.5	61001.7	49603.6	64964.3	PaeAG1_03245	CDS			hypothetical protein
72281	36115	39730	21912	24980	27432	PaeAG1_03246	CDS	blm	3.5.2.6	Metallo-beta-lactamase type 2
14011.6	7467.61	6778.55	3819.25	3943.38	5219.7	PaeAG1_03247	CDS			hypothetical protein
20241.5	11883.5	6362.5	2980	3089.5	4325.5	PaeAG1_03248	CDS	folP_1		dihydropteroate synthase
3802	2202.5	1067	1052	974	1066	PaeAG1_03249	CDS			hypothetical protein
8123.52	4500.29	3715.79	8875.1	7273.99	7207.77	PaeAG1_03250	CDS			hypothetical protein
7431	4377	3130.5	7195.5	7642.5	6523.5	PaeAG1_03251	CDS			hypothetical protein
321	177	178	356	219	317	PaeAG1_03252	CDS	bifA_1		protein BifA
72	41	28	70	55	56	PaeAG1_03253	CDS			hypothetical protein
35	21	9	38	41	28	PaeAG1_03254	CDS			hypothetical protein
570	292	227	391	371.227	444	PaeAG1_03255	CDS	lpdG_1	1.8.1.4	2-oxoglutarate dehydrogenase complex dihydrolipoyl dehydrogenase
8822.01	4519.92	5359.46	5420.62	4663.33	6183.33	PaeAG1_03256	CDS			Tn3 family transposase ISPa42
4478	2274	3036	4502	3101	4309	PaeAG1_03257	CDS			hypothetical protein
10288	3871	4675	2989	2142	5563	PaeAG1_03258	CDS			hypothetical protein
23416	8753	6807	3593	2118	10123	PaeAG1_03259	CDS			hypothetical protein
61482	23459	28839	9713	7297	24382	PaeAG1_03260	CDS	hss	2.5.1.44	Homospermidine synthase
10851	5589	7042	5236	4767	7471	PaeAG1_03261	CDS			hypothetical protein
9191	4926	4232	6397	5980	7346	PaeAG1_03262	CDS			hypothetical protein
3552	1877	2071	3350	2428	3232	PaeAG1_03263	CDS			hypothetical protein
92	35	35	63	39	81	PaeAG1_03264	tRNA			tRNA-Ser
808	398	708	1364	1030	970	PaeAG1_03265	CDS			hypothetical protein
257	126	207	272	227	272	PaeAG1_03266	CDS			hypothetical protein
65	19	29	32	24	41	PaeAG1_03267	CDS			hypothetical protein
1004	402	497	483	407	751	PaeAG1_03268	CDS			hypothetical protein
4143	1564	1631	1200	1096	2179	PaeAG1_03269	CDS	vqsM		HTH-type transcriptional regulator VqsM
590	207	332	364	329	575	PaeAG1_03270	CDS			hypothetical protein
1265	556	583	574	456	1048	PaeAG1_03271	CDS			hypothetical protein
1345	629	863	962	884	1155	PaeAG1_03272	CDS			hypothetical protein
1665	841	1093	1716	1255	1876	PaeAG1_03273	CDS			hypothetical protein
908	500	398	679	492	742	PaeAG1_03274	CDS			ISNCY family transposase ISBcen27
470	288	244	611	465	507	PaeAG1_03275	CDS			ISNCY family transposase ISBcen27
750.026	426.535	423.885	884.316	644.262	739.901	PaeAG1_03276	CDS			hypothetical protein
500.658	277.155	299.705	634.561	342.913	442.033	PaeAG1_03277	CDS			hypothetical protein
2942.67	1607	1918	1664.67	1407	2313.33	PaeAG1_03278	CDS			hypothetical protein
269	143.667	138	224	190	306.333	PaeAG1_03279	CDS			hypothetical protein
38.3333	21	23.3333	30.6667	36.6667	44.6667	PaeAG1_03280	CDS			hypothetical protein
192.667	96.6667	87	162	121.667	160.333	PaeAG1_03281	CDS			hypothetical protein
2917	1051	2409	2615.33	2121	2626	PaeAG1_03282	CDS			hypothetical protein
64	32.3333	41	54.3333	47.3333	75	PaeAG1_03283	CDS			hypothetical protein
27	16.6667	21.6667	16.3333	20.6667	20.3333	PaeAG1_03284	CDS			hypothetical protein
1061.67	526	492.333	951.667	783.333	1226.67	PaeAG1_03285	CDS			hypothetical protein
500.658	277.155	299.705	634.561	342.913	442.033	PaeAG1_03286	CDS			hypothetical protein
2942.67	1607	1918	1664.67	1407	2313.33	PaeAG1_03287	CDS			hypothetical protein
269	143.667	138	224	190	306.333	PaeAG1_03288	CDS			hypothetical protein
38.3333	21	23.3333	30.6667	36.6667	44.6667	PaeAG1_03289	CDS			hypothetical protein
192.667	96.6667	87	162	121.667	160.333	PaeAG1_03290	CDS			hypothetical protein
2917	1051	2409	2615.33	2121	2626	PaeAG1_03291	CDS			hypothetical protein
64	32.3333	41	54.3333	47.3333	75	PaeAG1_03292	CDS			hypothetical protein
27	16.6667	21.6667	16.3333	20.6667	20.3333	PaeAG1_03293	CDS			hypothetical protein
1061.67	526	492.333	951.667	783.333	1226.67	PaeAG1_03294	CDS			hypothetical protein
500.658	277.155	299.705	634.561	342.913	442.033	PaeAG1_03295	CDS			hypothetical protein
2942.67	1607	1918	1664.67	1407	2313.33	PaeAG1_03296	CDS			hypothetical protein
269	143.667	138	224	190	306.333	PaeAG1_03297	CDS			hypothetical protein
38.3333	21	23.3333	30.6667	36.6667	44.6667	PaeAG1_03298	CDS			hypothetical protein
192.667	96.6667	87	162	121.667	160.333	PaeAG1_03299	CDS			hypothetical protein
2917	1051	2409	2615.33	2121	2626	PaeAG1_03300	CDS			hypothetical protein
64	32.3333	41	54.3333	47.3333	75	PaeAG1_03301	CDS			hypothetical protein
27	16.6667	21.6667	16.3333	20.6667	20.3333	PaeAG1_03302	CDS			hypothetical protein
1061.67	526	492.333	951.667	783.333	1226.67	PaeAG1_03303	CDS			hypothetical protein
1178	711	850	711	632	792	PaeAG1_03304	CDS			hypothetical protein
1003.83	475.922	631.524	637.445	594.209	722.002	PaeAG1_03305	CDS			hypothetical protein
10233	4974	5898	2210	1849	2938	PaeAG1_03306	CDS			hypothetical protein
11833	5583	7564	2084	2101	2577	PaeAG1_03307	CDS			hypothetical protein
2343	1297	1175	625	524	703	PaeAG1_03308	CDS			hypothetical protein
2092	1207	948	1426	1197	1325	PaeAG1_03309	CDS			hypothetical protein
2592	1301	932	3145	2432	2034	PaeAG1_03310	CDS			hypothetical protein
352	171	139	203	198	191	PaeAG1_03311	CDS	hcf136_2		Ycf48-like protein
536	334	300	472	440	460	PaeAG1_03312	CDS	mdtC		Multidrug resistance protein MdtC
339	194	176	235	272	320	PaeAG1_03313	CDS			hypothetical protein
189	114	95	139	123	175	PaeAG1_03314	CDS			hypothetical protein
488	267	230	348	270	432	PaeAG1_03315	CDS			hypothetical protein
727	385	530	463	483	531	PaeAG1_03316	CDS			oxidoreductase
217	101	161	204	182	256	PaeAG1_03317	CDS			hypothetical protein
2847	1440	2207	1172	1160	2006	PaeAG1_03318	CDS			hypothetical protein
944	495	551	843	720	809	PaeAG1_03319	CDS			flavin-binding monooxygenase
421	216	166	343	355	427	PaeAG1_03320	CDS			hydrolase
128	61	54	109	75	89	PaeAG1_03321	CDS			iron-containing alcohol dehydrogenase
359	165	161	343	277	247	PaeAG1_03322	CDS			amino acid permease
213	121	91	174	169	168	PaeAG1_03323	CDS	betB_1	1.2.1.8	betaine aldehyde dehydrogenase
259	139	70	174	137	153	PaeAG1_03324	CDS	pvdH_2	2.6.1.76	diaminobutyrate--2-oxoglutarate aminotransferase
221	153	89	179	161	198	PaeAG1_03325	CDS			dehydrogenase
57	25	30	48	40	50	PaeAG1_03326	CDS			hypothetical protein
446	252	162	281	254	281	PaeAG1_03327	CDS			acetate permease
32	18	18	36	24	26	PaeAG1_03328	CDS	yjcH_2		Inner membrane protein YjcH
244	119	66	173	169	189	PaeAG1_03329	CDS			acyl-CoA synthetase
76	37	29	66	50	68	PaeAG1_03330	CDS			short-chain dehydrogenase
163	88	38	87	85	113	PaeAG1_03331	CDS			acyl-CoA dehydrogenase
12	9	2	10	8	15	PaeAG1_03332	CDS			hypothetical protein
89	43	34	58	44	66	PaeAG1_03333	CDS			hypothetical protein
1288	800	518	1254	1101	1006	PaeAG1_03334	CDS	norR		Anaerobic nitric oxide reductase transcription regulator NorR
544	311	342	633	684	849	PaeAG1_03335	CDS			transcriptional regulator
792.914	540.74	392.437	568.659	626.593	667.795	PaeAG1_03336	CDS			hypothetical protein
423.338	231.348	187	267.262	268.934	252.834	PaeAG1_03337	CDS			paraquat-inducible protein A
251	118	65	117	119	102	PaeAG1_03338	CDS			aldehyde dehydrogenase
166	95	59	127	126	96	PaeAG1_03339	CDS			hypothetical protein
221	122	83	107	92	116	PaeAG1_03340	CDS	rhmD	4.2.1.90	L-rhamnonate dehydratase
94	41	29	50	56	35	PaeAG1_03341	CDS			major facilitator superfamily transporter
77	48	33	48	46	57	PaeAG1_03342	CDS			porin
168	101	51	104	84	101	PaeAG1_03343	CDS		1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase
134	74	38	94	80	93	PaeAG1_03344	CDS			hypothetical protein
244	131	120	136	133	153	PaeAG1_03345	CDS			major facilitator superfamily transporter
117	76	39	62	44	45	PaeAG1_03346	CDS			hypothetical protein
49	24	14	35	27	26	PaeAG1_03347	CDS			hypothetical protein
203	114	80	122	106	119	PaeAG1_03348	CDS			hypothetical protein
743	483	321	468	441	453	PaeAG1_03349	CDS			transcriptional regulator
270	161	84	159	131	150	PaeAG1_03350	CDS			hypothetical protein
745	446	135	258	194	440	PaeAG1_03351	CDS			ABC transporter
87	41	25	17	20	37	PaeAG1_03352	CDS			amino acid permease
146	104	45	85	73	98	PaeAG1_03353	CDS			amino acid permease
555	349	217	266	256	363	PaeAG1_03354	CDS			hypothetical protein
758	476	363	597	529	628	PaeAG1_03355	CDS	pdeB	3.1.4.52	putative cyclic di-GMP phosphodiesterase PdeB
1681	979	788	1473	1259	1467	PaeAG1_03356	CDS			dehydrogenase
106	51	16	80	76	93	PaeAG1_03357	CDS			hypothetical protein
653	358	152	528	462	567	PaeAG1_03358	CDS			oxidoreductase
317	188	205	572	497	593	PaeAG1_03359	CDS			transcriptional regulator
1804	1081	505	3640	2683	2357	PaeAG1_03360	CDS	hcnC_1		hydrogen cyanide synthase subunit HcnC
1520	825	343	1164	944	1187	PaeAG1_03361	CDS	hcnB		hydrogen cyanide synthase subunit HcnB
335	199	141	308	271	381	PaeAG1_03362	CDS	hcnA_1		hydrogen cyanide synthase subunit HcnA
53	41	19	75	60	48	PaeAG1_03363	CDS			hypothetical protein
73	34	15	155	141	112	PaeAG1_03364	CDS	hrp1_1		Hypoxic response protein 1
322	205	172	156	188	192	PaeAG1_03365	CDS	exoY		adenylate cyclase
1708	789	954	11204	9292	8683	PaeAG1_03366	CDS	gsiB		Glucose starvation-inducible protein B
204	117	128	259	216	244	PaeAG1_03367	CDS	clpP_2	3.4.21.92	ATP-dependent Clp protease proteolytic subunit
204	98	57	364	338	281	PaeAG1_03368	CDS			alcohol dehydrogenase
365	205	149	584	448	396	PaeAG1_03369	CDS			hypothetical protein
140	68	37	76	69	88	PaeAG1_03370	CDS			hypothetical protein
396	187	219	302	253	252	PaeAG1_03371	CDS	katN		non-heme catalase KatN
485	218	310	2042	1508	1368	PaeAG1_03372	CDS	yciE		Protein YciE
182	110	53	194	216	174	PaeAG1_03373	CDS			hypothetical protein
423	218	171	401	381	336	PaeAG1_03374	CDS			hypothetical protein
301	183	97	537	548	381	PaeAG1_03375	CDS			glutamate--cysteine ligase
342	175	91	621	608	460	PaeAG1_03376	CDS			hypothetical protein
258	102	53	374	338	297	PaeAG1_03377	CDS	prmC	2.1.1.297	Release factor glutamine methyltransferase
60	29	16	100	115	77	PaeAG1_03378	CDS			hypothetical protein
278	158	105	792	539	579	PaeAG1_03379	CDS	yohC_1		Inner membrane protein YohC
2029	989	529	1729	1405	1643	PaeAG1_03380	CDS			sensor/response regulator hybrid protein
618	355	176	851	626	805	PaeAG1_03381	CDS			hypothetical protein
372	204	131	477	374	470	PaeAG1_03382	CDS			hypothetical protein
579	328	270	435	502	466	PaeAG1_03383	CDS			hypothetical protein
120	68	39	170	186	112	PaeAG1_03384	CDS			hypothetical protein
337	216	133	1662	1351	951	PaeAG1_03385	CDS			hypothetical protein
1035	598	295	2357	2290	1647	PaeAG1_03386	CDS			hypothetical protein
1307	645	617	5467	4426	3238	PaeAG1_03387	CDS			DNA nickase
132	71	47	368	308	206	PaeAG1_03388	CDS			hypothetical protein
530	301	194	1865	1425	987	PaeAG1_03389	CDS			hypothetical protein
277	135	78	492	396	419	PaeAG1_03390	CDS			hypothetical protein
612	366	153	1185	977	913	PaeAG1_03391	CDS			hypothetical protein
1565	806	573	8141	5111	7470	PaeAG1_03392	CDS			hypothetical protein
971	487	354	2374	2189	1985	PaeAG1_03393	CDS		2.4.1.21	glycogen synthase
694	380	156	1466	1352	1080	PaeAG1_03394	CDS			glycosyl hydrolase
796	404	150	1609	1500	1187	PaeAG1_03395	CDS			4-alpha-glucanotransferase
1559	866	497	2536	2226	1970	PaeAG1_03396	CDS		5.4.99.15	malto-oligosyltrehalose synthase
104	43	35	196	185	147	PaeAG1_03397	CDS			hypothetical protein
2598	1107	567	2623	2438	1810	PaeAG1_03398	CDS			glycosyl hydrolase
2127	718	800	6248	5115	5299	PaeAG1_03399	CDS	hrp1_2		Hypoxic response protein 1
643	324	173	1058	966	791	PaeAG1_03400	CDS			alcohol dehydrogenase
244	161	60	394	416	314	PaeAG1_03401	CDS			hypothetical protein
158	81	50	251	216	180	PaeAG1_03402	CDS			hypothetical protein
279	193	119	639	591	467	PaeAG1_03403	CDS			cardiolipin synthase 2
303	144	123	650	554	509	PaeAG1_03404	CDS	ybhN		Inner membrane protein YbhN
1283	690	373	1937	1542	1364	PaeAG1_03405	CDS	glgB	2.4.1.18	1,4-alpha-glucan branching protein GlgB
1239	706	384	2218	1821	1574	PaeAG1_03406	CDS			trehalose synthase
672	397	217	1209	1115	1040	PaeAG1_03407	CDS			alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
241	100	67	670	567	446	PaeAG1_03408	CDS			non-homologous end joining protein Ku
44	36	22	179	173	130	PaeAG1_03409	CDS			hypothetical protein
169	102	45	716	659	510	PaeAG1_03410	CDS			transporter
1005	527	416	2238	1942	1515	PaeAG1_03411	CDS	katE	1.11.1.6	catalase HPII
5864	2376	4284	42771	43033	32674	PaeAG1_03412	CDS			hypothetical protein
142	73	93	269	257	307	PaeAG1_03413	CDS			hypothetical protein
