ID	TYPE	NAME	???	DESCRIPTION
PA2926	CDS	hisP		histidine ABC transporter ATP-binding protein HisP
PA2927	CDS			hypothetical protein
PA2928	CDS			hypothetical protein
PA2929	CDS			hypothetical protein
PA2930	CDS			transcriptional regulator
PA2931	CDS	cifR		CifR protein
PA2932	CDS	morB		morphinone reductase
PA2933	CDS			major facilitator superfamily transporter
PA2934	CDS	cif		CFTR inhibitory factor
PA2935	CDS			hypothetical protein
PA2936	CDS			hypothetical protein
PA2937	CDS			hypothetical protein
PA2938	CDS			transporter
PA2939	CDS			aminopeptidase
PA2940	CDS			acyl-CoA thiolase
PA2941	CDS			hypothetical protein
PA2942	CDS			magnesium chelatase
PA2943	CDS		2.5.1.54	phospho-2-dehydro-3-deoxyheptonate aldolase
PA2944	CDS	cobN	6.6.1.2	cobaltochelatase subunit CobN
PA2945	CDS			cobalamin biosynthesis protein CobW
PA2946	CDS			hypothetical protein
PA2947	CDS			hypothetical protein
PA2948	CDS	cobM		precorrin-4 C(11)-methyltransferase
PA2949	CDS			lipase
PA2950	CDS		1.3.1.-	reductase
PA2951	CDS	etfA		electron transfer flavoprotein subunit alpha
PA2952	CDS	etfB		electron transfer flavoprotein subunit beta
PA2953	CDS			electron transfer flavoprotein-ubiquinone oxidoreductase
PA2954	CDS			hypothetical protein
PA2955	CDS			hypothetical protein
PA2956	CDS			hypothetical protein
PA2957	CDS			transcriptional regulator
PA2958	CDS			hypothetical protein
PA2959	CDS			hypothetical protein
PA2960	CDS	pilZ		type 4 fimbrial biogenesis protein PilZ
PA2961	CDS	holB	2.7.7.7	DNA polymerase III subunit delta'
PA2962	CDS	tmk	2.7.4.9	thymidylate kinase
PA2963	CDS			hypothetical protein
PA2964	CDS	pabC	4.1.3.38	4-amino-4-deoxychorismate lyase
PA2965	CDS	fabF1	2.3.1.179	3-oxoacyl-ACP synthase
PA2966	CDS	acpP		acyl carrier protein
PA2967	CDS	fabG	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase FabG
PA2968	CDS	fabD		malonyl CoA-ACP transacylase
PA2969	CDS	plsX		phosphate acyltransferase
PA2970	CDS	rpmF		50S ribosomal protein L32
PA2971	CDS			hypothetical protein
PA2972	CDS			hypothetical protein
PA2973	CDS			peptidase
PA2974	CDS			hydrolase
PA2975	CDS	rluC		ribosomal large subunit pseudouridine synthase C
PA2976	CDS	rne		ribonuclease E
PA2977	CDS	murB	1.3.1.98	UDP-N-acetylenolpyruvoylglucosamine reductase
PA2978	CDS	ptpA		phosphotyrosine protein phosphatase
PA2979	CDS	kdsB	2.7.7.38	3-deoxy-manno-octulosonate cytidylyltransferase
PA2980	CDS			hypothetical protein
PA2981	CDS	lpxK	2.7.1.130	tetraacyldisaccharide 4'-kinase
PA2982	CDS			hypothetical protein
PA2983	CDS			translocation protein TolQ
PA2984	CDS			hypothetical protein
PA2985	CDS			hypothetical protein
PA2986	CDS			hypothetical protein
PA2987	CDS			lipoprotein-releasing system ABC transporter ATP-binding protein
PA2988	CDS			hypothetical protein
PA2989	CDS			hypothetical protein
PA2990	CDS			phosphodiesterase
PA2991	CDS	sth	1.6.1.1	soluble pyridine nucleotide transhydrogenase
PA2992	CDS			hypothetical protein
PA2993	CDS			hypothetical protein
PA2994	CDS	nqrF		Na(+)-translocating NADH-quinone reductase subunit F
PA2995	CDS	nqrE		Na(+)-translocating NADH-quinone reductase subunit E
PA2996	CDS	nqrD		Na(+)-translocating NADH-quinone reductase subunit D
PA2997	CDS	nqrC		Na(+)-translocating NADH-quinone reductase subunit C
PA2998	CDS	nqrB		Na(+)-translocating NADH-quinone reductase subunit B
PA2999	CDS	nqrA		Na(+)-translocating NADH-quinone reductase subunit A
PA3000	CDS	aroP1		aromatic amino acid transporter AroP
PA3001	CDS		1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase
PA3002	CDS	mfd		transcription-repair coupling factor
PA3003	CDS			hypothetical protein
PA3004	CDS		2.4.2.28	S-methyl-5'-thioinosine phosphorylase
PA3005	CDS	nagZ	3.2.1.52	beta-hexosaminidase
PA3006	CDS	psrA		transcriptional regulator PsrA
PA3007	CDS	lexA	3.4.21.88	LexA repressor
PA3008	CDS			cell division inhibitor SulA
PA3009	CDS			hypothetical protein
PA3010	CDS			hypothetical protein
PA3011	CDS	topA	5.99.1.2	DNA topoisomerase I
PA3012	CDS			hypothetical protein
PA3013	CDS	foaB	2.3.1.16	3-ketoacyl-CoA thiolase
PA3014	CDS	faoA	1.1.1.35	fatty acid oxidation complex subunit alpha
PA3015	CDS			hypothetical protein
PA3016	CDS			hypothetical protein
PA3017	CDS			hypothetical protein
PA3018	CDS			hypothetical protein
PA3019	CDS			ABC transporter ATP-binding protein
PA3020	CDS			lytic transglycosylase
PA3021	CDS			hypothetical protein
PA3022	CDS			hypothetical protein
PA3023	CDS			lipid kinase
PA3024	CDS			carbohydrate kinase
PA3025	CDS			FAD-dependent glycerol-3-phosphate dehydrogenase
PA3026	CDS			hypothetical protein
PA3027	CDS			transcriptional regulator
PA3028	CDS	moeA2		molybdenum cofactor biosynthesis protein A
PA3029	CDS	moaB2		molybdopterin biosynthesis protein B
PA3030	CDS	mobA		molybdenum cofactor guanylyltransferase
PA3031	CDS			hypothetical protein
PA3031.1	tRNA			tRNA-Pro
PA3032	CDS	snr1		cytochrome C Snr1
PA3033	CDS			hypothetical protein
PA3034	CDS			transcriptional regulator
PA3035	CDS			glutathione S-transferase
PA3036	CDS			hypothetical protein
PA3037	CDS			hypothetical protein
PA3038	CDS			porin
PA3039	CDS			transporter
PA3040	CDS			hypothetical protein
PA3041	CDS			hypothetical protein
PA3042	CDS			hypothetical protein
PA3043	CDS			deoxyguanosinetriphosphate triphosphohydrolase
PA3044	CDS			two-component sensor
PA3045	CDS			two-component response regulator
PA3046	CDS			hypothetical protein
PA3047	CDS			D-alanyl-D-alanine carboxypeptidase
PA3048	CDS			ribosomal RNA large subunit methyltransferase K/L
PA3049	CDS	rmf		ribosome modulation factor
PA3050	CDS	pyrD		dihydroorotate dehydrogenase
PA3051	CDS			hypothetical protein
PA3052	CDS			hypothetical protein
PA3053	CDS			hydrolase
PA3054	CDS			hypothetical protein
PA3055	CDS			hypothetical protein
PA3056	CDS			hypothetical protein
PA3057	CDS			hypothetical protein
PA3058	CDS	pelG		pellicle/biofilm biosynthesis Wzx-like polysaccharide transporter PelG
PA3059	CDS	pelF		pellicle/biofilm biosynthesis glycosyltransferase PelF
PA3060	CDS	pelE		pellicle/biofilm biosynthesis protein PelE
PA3061	CDS	pelD		pellicle/biofilm biosynthesis protein PelD
PA3062	CDS	pelC		pellicle/biofilm biosynthesis outer membrane protein PelC
PA3063	CDS	pelB		pellicle/biofilm biosynthesis protein PelB
PA3064	CDS	pelA		hypothetical protein
PA3065	CDS			hypothetical protein
PA3066	CDS			hypothetical protein
PA3067	CDS			transcriptional regulator
PA3068	CDS	gdhB		NAD-specific glutamate dehydrogenase
PA3069	CDS			hypothetical protein
PA3070	CDS			hypothetical protein
PA3071	CDS			hypothetical protein
PA3072	CDS			hypothetical protein
PA3073	CDS			hypothetical protein
PA3074	CDS			hypothetical protein
PA3075	CDS			hypothetical protein
PA3076	CDS			hypothetical protein
PA3077	CDS			two-component response regulator
PA3078	CDS			two-component sensor
PA3079	CDS			hypothetical protein
PA3080	CDS			hypothetical protein
PA3081	CDS			hypothetical protein
PA3082	CDS	gbt		glycine betaine transmethylase
PA3083	CDS	pepN		aminopeptidase
PA3084	CDS			hypothetical protein
PA3085	CDS			hypothetical protein
PA3086	CDS			hypothetical protein
PA3087	CDS			hypothetical protein
PA3088	CDS		2.7.1.23	NAD kinase
PA3089	CDS			hypothetical protein
PA3089a	CDS			1-aminocyclopropane-1-carboxylate deaminase
PA3091	CDS			hypothetical protein
PA3092	CDS	fadH1		2,4-dienoyl-CoA reductase
PA3093	CDS			hypothetical protein
PA3094	CDS			transcriptional regulator
PA3094.1	tRNA			tRNA-Asp
PA3094.2	tRNA			tRNA-Asp
PA3094.3	tRNA			tRNA-Val
PA3095	CDS	xcpZ		type II secretion system protein M
PA3096	CDS	xcpY		type II secretion system protein L
PA3097	CDS	xcpX		type II secretion system protein K
PA3098	CDS	xcpW		type II secretion system protein J
PA3099	CDS	xcpV		type II secretion system protein I
PA3100	CDS	xcpU		type II secretion system protein H
PA3101	CDS	xcpT		type II secretion system protein G
PA3102	CDS	xcpS		type II secretion system protein F
PA3103	CDS	xcpR		type II secretion system protein E
PA3104	CDS	xcpP		type II secretion system protein N
PA3105	CDS	xcpQ		type II secretion system protein D
PA3106	CDS			oxidoreductase
PA3107	CDS	metZ		O-succinylhomoserine sulfhydrylase
PA3108	CDS	purF	2.4.2.14	amidophosphoribosyltransferase
PA3109	CDS			hypothetical protein
PA3110	CDS			hypothetical protein
PA3111	CDS	folC		folylpolyglutamate synthetase
PA3112	CDS	accD	6.4.1.2	acetyl-CoA carboxylase carboxyltransferase subunit beta
PA3113	CDS	trpF	5.3.1.24	N-(5'-phosphoribosyl)anthranilate isomerase
PA3114	CDS	truA	5.4.99.12	tRNA pseudouridine synthase A
PA3115	CDS	fimV		motility protein FimV
PA3116	CDS		1.2.1.11	aspartate-semialdehyde dehydrogenase
PA3117	CDS	asd	1.2.1.11	aspartate-semialdehyde dehydrogenase
PA3118	CDS	leuB	1.1.1.85	3-isopropylmalate dehydrogenase
PA3119	CDS			hypothetical protein
PA3120	CDS	leuD	4.2.1.33	isopropylmalate isomerase small subunit
PA3121	CDS	leuC	4.2.1.33	3-isopropylmalate dehydratase large subunit
PA3122	CDS			transcriptional regulator
PA3123	CDS			hypothetical protein
PA3124	CDS			transcriptional regulator
PA3125	CDS			hypothetical protein
PA3126	CDS	ibpA		heat-shock protein IbpA
PA3127	CDS			hypothetical protein
PA3128	CDS			short-chain dehydrogenase
PA3129	CDS			tRNA-dihydrouridine synthase C
PA3130	CDS			hypothetical protein
PA3131	CDS			aldolase
PA3132	CDS			hydrolase
PA3133	CDS			transcriptional regulator
PA3133.1	tRNA			tRNA-Glu
PA3133.2	tRNA			tRNA-Ala
PA3133.3	tRNA			tRNA-Glu
PA3133.4	tRNA			tRNA-Ala
PA3134	CDS	gltX	6.1.1.17	glutamate--tRNA ligase
PA3135	CDS			transcriptional regulator
PA3136	CDS			secretion protein
PA3137	CDS			major facilitator superfamily transporter
PA3138	CDS	uvrB		excinuclease ABC subunit B
PA3139	CDS		2.6.1.57	aspartate aminotransferase
PA3139.1	tRNA			tRNA-Asn
PA3140	CDS			hypothetical protein
PA3141	CDS	wbpM		nucleotide sugar epimerase/dehydratase WbpM
PA3142	CDS			hypothetical protein
PA3143	CDS			hypothetical protein
PA3145	CDS	wbpL		glycosyltransferase WbpL
PA3146	CDS	wbpK		NAD-dependent epimerase/dehydratase
PA3147	CDS	wbpJ		glycosyl transferase WbpJ
PA3148	CDS	wbpI		UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimeras
PA3149	CDS	wbpH		glycosyltransferase WbpH
PA3150	CDS	wbpG		LPS biosynthesis protein WbpG
PA3151	CDS	hisF2	4.1.3.-	imidazole glycerol phosphate synthase subunit HisF
PA3152	CDS	hisH2	2.4.2.-	imidazole glycerol phosphate synthase subunit HisH
PA3153	CDS	wzx		O-antigen translocase
PA3154	CDS	wzy		B-band O-antigen polymerase
PA3155	CDS	wbpE		UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
PA3156	CDS	wbpD		UDP-2-acetamido-3-amino-2, 3-dideoxy-D-glucuronate N-acetyltransferase
PA3157	CDS			acetyltransferase
PA3158	CDS	wbpB		UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase
PA3159	CDS	wbpA		UDP-N-acetyl-d-glucosamine 6-dehydrogenase
PA3160	CDS	wzz		O-antigen chain length regulator
PA3161	CDS	himD		integration host factor subunit beta
PA3162	CDS	rpsA		30S ribosomal protein S1
PA3163	CDS	cmk	2.7.4.14	cytidylate kinase
PA3165	CDS	hisC2	2.6.1.9	histidinol-phosphate aminotransferase
PA3166	CDS	pheA		bifunctional chorismate mutase/prephenate dehydratase
PA3167	CDS	serC	2.6.1.52	3-phosphoserine/phosphohydroxythreonine aminotransferase
PA3168	CDS	gyrA		DNA gyrase subunit A
PA3169	CDS		5.3.1.23	methylthioribose-1-phosphate isomerase
PA3170	CDS			N-ethylammeline chlorohydrolase
PA3171	CDS	ubiG	2.1.1.64	ubiquinone biosynthesis O-methyltransferase
PA3172	CDS			phosphoglycolate phosphatase
PA3173	CDS			short-chain dehydrogenase
PA3174	CDS			transcriptional regulator
PA3175	CDS		3.5.3.8	formimidoylglutamase
PA3176	CDS	gltS		glutamate/sodium ion symporter GltS
PA3177	CDS			hypothetical protein
PA3178	CDS			hypothetical protein
PA3179	CDS			ribosomal large subunit pseudouridine synthase B
PA3180	CDS			hypothetical protein
PA3181	CDS		4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase
PA3182	CDS	pgl		6-phosphogluconolactonase
PA3183	CDS	zwf	1.1.1.49	glucose-6-phosphate 1-dehydrogenase
PA3184	CDS			HTH-type transcriptional regulator
PA3185	CDS			hypothetical protein
PA3186	CDS	oprB		porin B
PA3187	CDS			ABC transporter ATP-binding protein
PA3188	CDS			sugar ABC transporter permease
PA3189	CDS			sugar ABC transporter permease
PA3190	CDS			sugar ABC transporter substrate-binding protein
PA3191	CDS			two-component sensor
PA3192	CDS	gltR		two-component response regulator GltR
PA3193	CDS	glk	2.7.1.2	glucokinase
PA3194	CDS	edd	4.2.1.12	phosphogluconate dehydratase
PA3195	CDS	gapA		glyceraldehyde 3-phosphate dehydrogenase
PA3196	CDS			hypothetical protein
PA3197	CDS			hypothetical protein
PA3198	CDS			hypothetical protein
PA3199	CDS			hypothetical protein
PA3200	CDS			hypothetical protein
PA3201	CDS			intracellular septation protein A
PA3202	CDS			hypothetical protein
PA3203	CDS			hypothetical protein
PA3204	CDS			two-component response regulator
PA3205	CDS			hypothetical protein
PA3206	CDS			two-component sensor
PA3207	CDS			hypothetical protein
PA3208	CDS			hypothetical protein
PA3209	CDS			hypothetical protein
PA3210	CDS	trkH		potassium uptake protein TrkH
PA3211	CDS			ABC transporter permease
PA3212	CDS			ABC transporter ATP-binding protein
PA3213	CDS			hypothetical protein
PA3214	CDS			hypothetical protein
PA3215	CDS			transcriptional regulator
PA3216	CDS			hypothetical protein
PA3217	CDS	cyaB		protein CyaB
PA3219	CDS			hypothetical protein
PA3220	CDS			transcriptional regulator
PA3221	CDS	csaA		molecular chaperone CsaA
PA3222	CDS			hypothetical protein
PA3223	CDS	azoR3		FMN-dependent NADH-azoreductase
PA3224	CDS			hypothetical protein
PA3225	CDS			transcriptional regulator
PA3226	CDS			hydrolase
PA3227	CDS	ppiA		peptidyl-prolyl cis-trans isomerase A
PA3228	CDS			ABC transporter ATP-binding protein/permease
PA3229	CDS			hypothetical protein
PA3230	CDS			hypothetical protein
PA3231	CDS			hypothetical protein
PA3232	CDS			DNA polymerase III subunit epsilon
PA3233	CDS			hypothetical protein
PA3234	CDS			acetate permease
PA3235	CDS			hypothetical protein
PA3236	CDS			glycine betaine-binding protein
PA3237	CDS			hypothetical protein
PA3238	CDS			hypothetical protein
PA3239	CDS			hypothetical protein
PA3240	CDS			quercetin 2,3-dioxygenase
PA3241	CDS			hypothetical protein
PA3242	CDS			lipid A biosynthesis lauroyl acyltransferase
PA3243	CDS	minC		septum formation inhibitor
PA3244	CDS	minD		cell division inhibitor MinD
PA3245	CDS	minE		cell division topological specificity factor MinE
PA3246	CDS	rluA		pseudouridine synthase
PA3247	CDS			aminopeptidase
PA3248	CDS			hypothetical protein
PA3249	CDS			transcriptional regulator
PA3250	CDS			hypothetical protein
PA3251	CDS			hypothetical protein
PA3252	CDS			ABC transporter permease
PA3253	CDS			ABC transporter permease
PA3254	CDS			ABC transporter ATP-binding protein
PA3255	CDS			hypothetical protein
PA3256	CDS			oxidoreductase
PA3257	CDS	prc		tail-specific protease
PA3258	CDS			hypothetical protein
PA3259	CDS			hypothetical protein
PA3260	CDS			transcriptional regulator
PA3261	CDS			hypothetical protein
PA3262	CDS			FkbP-type peptidyl-prolyl cis-trans isomerase
PA3262.1	tRNA			tRNA-Asp
PA3262.2	tRNA			tRNA-Val
PA3263	CDS			recombination associated protein RdgC
PA3264	CDS			transporter
PA3265	CDS			transporter
PA3266	CDS	capB		major cold shock protein CspA
PA3267	CDS			hypothetical protein
PA3268	CDS			TonB-dependent receptor
PA3269	CDS			transcriptional regulator
PA3270	CDS			hypothetical protein
PA3271	CDS			two-component sensor
PA3272	CDS			ATP-dependent DNA helicase
PA3273	CDS			hypothetical protein
PA3274	CDS			hypothetical protein
PA3275	CDS			hypothetical protein
PA3276	CDS			hypothetical protein
PA3277	CDS			short-chain dehydrogenase
PA3278	CDS			hypothetical protein
PA3279	CDS	oprP		phosphate-specific outer membrane porin OprP
PA3280	CDS	oprO		pyrophosphate-specific outer membrane porin OprO
PA3281	CDS			hypothetical protein
PA3282	CDS			hypothetical protein
PA3283	CDS			hypothetical protein
PA3284	CDS			hypothetical protein
PA3285	CDS			ECF subfamily sigma-70 factor
PA3286	CDS			3-oxoacyl-ACP synthase
PA3287	CDS			hypothetical protein
PA3288	CDS			hypothetical protein
PA3289	CDS			hypothetical protein
PA3290	CDS			hypothetical protein
PA3291	CDS			hypothetical protein
PA3292	CDS			hypothetical protein
PA3293	CDS			hypothetical protein
PA3294	CDS			hypothetical protein
PA3295	CDS			HIT family protein
PA3296	CDS	phoA		alkaline phosphatase
PA3297	CDS			ATP-dependent helicase
PA3298	CDS			hypothetical protein
PA3299	CDS	fadD1		long-chain-fatty-acid--CoA ligase
PA3300	CDS	fadD2		long-chain-fatty-acid--CoA ligase
PA3301	CDS			hypothetical protein
PA3302	CDS			hypothetical protein
PA3303	CDS			major facilitator superfamily transporter
PA3304	CDS			hypothetical protein
PA3303a	CDS			hypothetical protein
PA3305	CDS			hypothetical protein
PA3306	CDS			hypothetical protein
PA3307	CDS			hypothetical protein
PA3308	CDS			RNA polymerase-associated protein RapA
PA3309	CDS			hypothetical protein
PA3310	CDS			hypothetical protein
PA3311	CDS			signaling protein
PA3312	CDS			3-hydroxyisobutyrate dehydrogenase
PA3313	CDS			hypothetical protein
PA3314	CDS			phosphonates ABC transporter ATP-binding protein
PA3315	CDS			phosphonates ABC transporter permease
PA3316	CDS			ABC transporter permease
PA3317	CDS			hypothetical protein
PA3318	CDS			hypothetical protein
PA3319	CDS	plcN		non-hemolytic phospholipase C
PA3320	CDS			hypothetical protein
PA3321	CDS			transcriptional regulator
PA3322	CDS			hypothetical protein
PA3323	CDS			hypothetical protein
PA3324	CDS			short-chain dehydrogenase
PA3325	CDS			hypothetical protein
PA3326	CDS			ATP-dependent Clp protease proteolytic subunit
PA3327	CDS			non-ribosomal peptide synthetase
PA3328	CDS			FAD-dependent monooxygenase
PA3329	CDS			hypothetical protein
PA3330	CDS			short-chain dehydrogenase
PA3331	CDS			cytochrome P450
PA3332	CDS			hypothetical protein
PA3333	CDS	fabH2	2.3.1.180	3-oxoacyl-ACP synthase III
PA3334	CDS			acyl carrier protein
PA3335	CDS			hypothetical protein
PA3336	CDS			major facilitator superfamily transporter
PA3337	CDS	rfaD		ADP-L-glycero-D-mannoheptose-6-epimerase
PA3338	CDS			hypothetical protein
PA3339	CDS	plpD		patatin-like protein
PA3340	CDS			hypothetical protein
PA3341	CDS			transcriptional regulator
PA3342	CDS			hypothetical protein
PA3343	CDS			hypothetical protein
PA3344	CDS	recQ		ATP-dependent DNA helicase RecQ
PA3345	CDS			hypothetical protein
PA3346	CDS			two-component response regulator
PA3347	CDS			hypothetical protein
PA3348	CDS			chemotaxis protein methyltransferase
PA3349	CDS			chemotaxis protein
PA3350	CDS			flagellar basal body P-ring biosynthesis protein FlgA
PA3351	CDS	flgM		protein FlgM
PA3352	CDS			hypothetical protein
PA3353	CDS			hypothetical protein
PA3354	CDS			hypothetical protein
PA3355	CDS			hypothetical protein
PA3356	CDS			hypothetical protein
PA3357	CDS	dsdA	4.3.1.18	D-serine dehydratase
PA3358	CDS			hypothetical protein
PA3359	CDS			hypothetical protein
PA3360	CDS			secretion protein
PA3361	CDS	lecB		fucose-binding lectin PA-IIL
PA3362	CDS			transporter protein AmiS
PA3363	CDS	amiR		aliphatic amidase regulator
PA3364	CDS	amiC		aliphatic amidase expression-regulating protein
PA3365	CDS			chaperone
PA3366	CDS	amiE	3.5.1.4	acylamide amidohydrolase
PA3367	CDS			hypothetical protein
PA3368.1	tRNA			tRNA-Arg
PA3368	CDS			acetyltransferase
PA3369	CDS			hypothetical protein
PA3370	CDS			hypothetical protein
PA3371	CDS			hypothetical protein
PA3372	CDS			carbon-phosphorus lyase complex accessory protein
PA3373	CDS			hypothetical protein
PA3374	CDS			hypothetical protein
PA3375	CDS			ABC transporter ATP-binding protein
PA3376	CDS			phosphonate C-P lyase system protein PhnK
PA3377	CDS			hypothetical protein
PA3378	CDS			hypothetical protein
PA3379	CDS			carbon-phosphorus lyase complex subunit
PA3380	CDS			hypothetical protein
PA3381	CDS			transcriptional regulator
PA3382	CDS	phnE		phosphonate transporter PhnE
PA3383	CDS			phosphonate ABC transporter substrate-binding protein
PA3384	CDS	phnC		phosphonate ABC transporter ATP-binding protein
PA3385	CDS	amrZ		alginate and motility regulator Z
PA3386	CDS			hypothetical protein
PA3387	CDS	rhlG		3-oxoacyl-ACP reductase
PA3388	CDS			S-adenosylmethionine-dependent methyltransferase RcsF
PA3390	CDS			hypothetical protein
PA3389	CDS			ring-cleaving dioxygenase
PA3391	CDS	nosR		regulatory protein NosR
PA3392	CDS	nosZ		nitrous-oxide reductase
PA3393	CDS	nosD		copper-binding periplasmic protein
PA3394	CDS	nosF		copper ABC transporter ATP-binding protein
PA3395	CDS	nosY		membrane protein NosY
PA3396	CDS	nosL		acessory protein NosL
PA3397	CDS	fpr		ferredoxin-NADP reductase
PA3398	CDS			transcriptional regulator
PA3399	CDS			hypothetical protein
PA3400	CDS			hypothetical protein
PA3401	CDS			hypothetical protein
PA3402	CDS			hypothetical protein
PA3403	CDS			hypothetical protein
PA3403a	CDS			hypothetical protein
PA3404	CDS			hypothetical protein
PA3405	CDS	hasE		metalloprotease secretion protein
PA3406	CDS	hasD		transporter HasD
PA3407	CDS	hasAp		heme acquisition protein HasA
PA3408	CDS	hasR		heme uptake outer membrane receptor HasR
PA3409	CDS			transmembrane sensor
PA3410	CDS			ECF subfamily sigma-70 factor
PA3411	CDS			hypothetical protein
PA3412	CDS			hypothetical protein
PA3413	CDS			hypothetical protein
PA3414	CDS			hypothetical protein
PA3415	CDS			branched-chain alpha-keto acid dehydrogenase subunit E2
PA3416	CDS			pyruvate dehydrogenase E1 component subunit beta
PA3417	CDS			pyruvate dehydrogenase E1 component subunit alpha
PA3418	CDS	ldh		leucine dehydrogenase
PA3419	CDS			hypothetical protein
PA3420	CDS			transcriptional regulator
PA3421	CDS			hypothetical protein
PA3422	CDS			hypothetical protein
PA3423	CDS			transcriptional regulator
PA3424	CDS			hypothetical protein
PA3425	CDS			hypothetical protein
PA3426	CDS		4.2.1.17	enoyl-CoA hydratase
PA3427	CDS			short-chain dehydrogenase
PA3428	CDS			hypothetical protein
PA3429	CDS			epoxide hydrolase
PA3430	CDS			aldolase
PA3431	CDS			hypothetical protein
PA3432	CDS			hypothetical protein
PA3433	CDS			transcriptional regulator
PA3434	CDS			transposase
PA3435	CDS			flavodoxin
PA3436	CDS			hypothetical protein
PA3437	CDS	folM		short-chain dehydrogenase
PA3438	CDS	folE1	3.5.4.16	GTP cyclohydrolase I
PA3439	CDS	folX		D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase
PA3440	CDS			hypothetical protein
PA3440a	CDS			type III effector protein
PA3441	CDS			molybdopterin-binding protein
PA3442	CDS			aliphatic sulfonates ABC transporter ATP-binding subunit
PA3443	CDS			ABC transporter permease
PA3444	CDS		1.14.14.5	alkanesulfonate monooxygenase
PA3445	CDS			hypothetical protein
PA3446	CDS			NAD(P)H-dependent FMN reductase
PA3447	CDS			ABC transporter ATP-binding protein
PA3448	CDS			ABC transporter permease
PA3449	CDS			hypothetical protein
PA3450	CDS			antioxidant protein
PA3451	CDS			hypothetical protein
PA3452	CDS	mqoA	1.1.5.4	malate:quinone oxidoreductase
PA3453	CDS			hypothetical protein
PA3454	CDS			acyl-CoA thiolase
PA3455	CDS			hypothetical protein
PA3456	CDS			tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
PA3457	CDS			hypothetical protein
PA3458	CDS			transcriptional regulator
PA3459	CDS			glutamine amidotransferase
PA3460	CDS			acetyltransferase
PA3461	CDS			hypothetical protein
PA3462	CDS			sensor/response regulator hybrid protein
PA3463	CDS			hypothetical protein
PA3464	CDS			hypothetical protein
PA3465	CDS			hypothetical protein
PA3466	CDS			ATP-dependent RNA helicase
PA3467	CDS			major facilitator superfamily transporter
PA3468	CDS			hypothetical protein
PA3469	CDS			hypothetical protein
PA3470	CDS			hypothetical protein
PA3471	CDS		1.1.1.38	NAD-dependent malic enzyme
PA3472	CDS			hypothetical protein
PA3473	CDS			chloramphenicol-sensitive protein RarD
PA3474	CDS			hypothetical protein
PA3475	CDS	pheC		cyclohexadienyl dehydratase
PA3476	CDS	rhlI		acyl-homoserine-lactone synthase
PA3477	CDS	rhlR		transcriptional regulator RhlR
PA3478	CDS	rhlB		rhamnosyltransferase subunit B
PA3479	CDS	rhlA		rhamnosyltransferase subunit A
PA3480	CDS		3.5.4.13	deoxycytidine triphosphate deaminase
PA3481	CDS			hypothetical protein
PA3482	CDS	metG	6.1.1.10	methionine--tRNA ligase
PA3483	CDS			hypothetical protein
PA3484	CDS			hypothetical protein
PA3485	CDS			hypothetical protein
PA3486	CDS			hypothetical protein
PA3487	CDS	pldA		phospholipase D
PA3488	CDS			hypothetical protein
PA3489	CDS			electron transport complex subunit A
PA3490	CDS			electron transport complex subunit B
PA3491	CDS			electron transport complex subunit C
PA3492	CDS			electron transport complex subunit D
PA3493	CDS			electron transport complex subunit G
PA3494	CDS			electron transport complex subunit E
PA3495	CDS	nth		endonuclease III
PA3496	CDS			hypothetical protein
PA3497	CDS			hypothetical protein
PA3498	CDS			oxidoreductase
PA3499	CDS			hypothetical protein
PA3500	CDS			hypothetical protein
PA3501	CDS			hypothetical protein
PA3502	CDS			hypothetical protein
PA3504	CDS			aldehyde dehydrogenase
PA3505	CDS		1.4.1.21	L-aspartate dehydrogenase
PA3506	CDS			hypothetical protein
PA3507	CDS			short-chain dehydrogenase
PA3508	CDS			transcriptional regulator
PA3509	CDS			hydrolase
PA3510	CDS			hypothetical protein
PA3511	CDS			short-chain dehydrogenase
PA3512	CDS			ABC transporter permease
PA3513	CDS			hypothetical protein
PA3514	CDS			ABC transporter ATP-binding protein
PA3515	CDS			hypothetical protein
PA3516	CDS		4.3.2.2	adenylosuccinate lyase
PA3517	CDS		4.3.2.2	adenylosuccinate lyase
PA3518	CDS			hypothetical protein
PA3519	CDS			hypothetical protein
PA3520	CDS			hypothetical protein
PA3521	CDS			hypothetical protein
PA3522	CDS			resistance-nodulation-cell division (RND) efflux transporter
PA3523	CDS			resistance-nodulation-cell division (RND) efflux membrane fusion protein
PA3524	CDS	gloA1		lactoylglutathione lyase
PA3525	CDS	argG	6.3.4.5	argininosuccinate synthase
PA3526	CDS			hypothetical protein
PA3527	CDS	pyrC	3.5.2.3	dihydroorotase
PA3528	CDS	rnt	3.1.13.-	ribonuclease T
PA3529	CDS			peroxidase
PA3530	CDS			hypothetical protein
PA3531	CDS	bfrB		bacterioferritin
PA3532	CDS			hypothetical protein
PA3533	CDS			hypothetical protein
PA3534	CDS			oxidoreductase
